date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:26:15	34562/34562	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202018%2003:43:18%20GMT	http://mhbthemes.com/demos/rx/rx/index.html	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/index.html	(from )
19:26:16	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202018%2013:56:15%20GMT	http://mhbthemes.com/robots.txt		(from )
19:26:17	937/937	---M--	200	added ('OK')	image/png	date:Tue,%2030%20May%202017%2014:47:34%20GMT	http://mhbthemes.com/demos/rx/rx/assets/img/favicon.png	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/assets/img/favicon.png	(from http://mhbthemes.com/demos/rx/rx/index.html)
19:26:19	121200/121200	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2019:53:28%20GMT	http://mhbthemes.com/demos/rx/rx/assets/css/bootstrap.min.css	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/assets/css/bootstrap.min.css	(from http://mhbthemes.com/demos/rx/rx/index.html)
19:26:20	31004/31004	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20May%202017%2014:47:14%20GMT	http://mhbthemes.com/demos/rx/rx/assets/css/font-awesome.min.css	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/assets/css/font-awesome.min.css	(from http://mhbthemes.com/demos/rx/rx/index.html)
19:26:21	7302/7302	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20May%202017%2014:47:12%20GMT	http://mhbthemes.com/demos/rx/rx/assets/css/magnific-popup.css	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/assets/css/magnific-popup.css	(from http://mhbthemes.com/demos/rx/rx/index.html)
19:26:22	4614/4614	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Jun%202014%2023:51:42%20GMT	http://mhbthemes.com/demos/rx/rx/assets/css/owl.carousel.css	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/assets/css/owl.carousel.css	(from http://mhbthemes.com/demos/rx/rx/index.html)
19:26:23	23561/23561	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2004:26:48%20GMT	http://mhbthemes.com/demos/rx/rx/style.css	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/style.css	(from http://mhbthemes.com/demos/rx/rx/index.html)
19:26:24	4737/4737	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202018%2022:04:48%20GMT	http://mhbthemes.com/demos/rx/rx/assets/css/responsive.css	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/assets/css/responsive.css	(from http://mhbthemes.com/demos/rx/rx/index.html)
19:26:26	13972/13972	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202018%2000:44:02%20GMT	http://mhbthemes.com/demos/rx/rx/blog.html	C:/Users/HP/Desktop/asadportfolio/mhbthemes.com/demos/rx/rx/blog.html	(from http://mhbthemes.com/demos/rx/rx/index.html)
